model,case_id,exact_match,score,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-31b-256:latest,pass4.query4,False,0.0,row_count_mismatch,0.125,False,2,1,1,2
gemma4-31b-256:latest,pass4.query5,False,0.0,same_count_wrong_values,0.9,True,5,5,2,2
gemma4-31b-256:latest,pass4.query6,False,0.0,same_count_wrong_values,0.65,True,5,5,5,5
gemma4-31b-256:latest,pass4.query7,False,0.0,same_count_wrong_values,0.3333333333333333,True,6,6,6,6
gemma4-31b-256:latest,pass4.query8,False,0.0,row_count_mismatch,0.2,False,7,4,4,7
gemma4-31b-64:latest,pass4.query1,False,0.0,same_count_wrong_values,0.8125,True,8,8,3,3
gemma4-31b-64:latest,pass4.query2,False,0.0,row_count_mismatch,0.125,False,4,3,1,2
gemma4-31b-64:latest,pass4.query3,False,0.0,row_count_mismatch,0.3888888888888889,False,3,2,2,3
gemma4-31b-64:latest,pass4.query4,False,0.0,row_count_mismatch,0.125,False,2,1,1,2
gemma4-31b-64:latest,pass4.query5,False,0.0,same_count_wrong_values,0.9,True,5,5,2,2
gemma4-31b-64:latest,pass4.query6,False,0.0,same_count_wrong_values,0.65,True,5,5,5,5
gemma4-31b-64:latest,pass4.query7,False,0.0,same_count_wrong_values,0.3333333333333333,True,6,6,6,6
gemma4-31b-64:latest,pass4.query8,False,0.0,row_count_mismatch,0.2,False,7,4,4,7
phi4-mini-128:latest,pass4.query1,False,0.0,same_count_wrong_values,0.625,True,8,8,6,6
phi4-mini-128:latest,pass4.query2,False,0.0,row_count_mismatch,0.05555555555555555,False,2,3,3,2
phi4-mini-128:latest,pass4.query3,False,0.0,row_count_mismatch,0.08333333333333333,False,4,2,2,4
phi4-mini-128:latest,pass4.query4,False,0.0,row_count_mismatch,0.0,False,3,1,1,3
phi4-mini-128:latest,pass4.query5,False,0.0,row_count_mismatch,0.06666666666666667,False,4,5,5,4
phi4-mini-128:latest,pass4.query6,False,0.0,row_count_mismatch,0.2,False,2,5,5,2
phi4-mini-128:latest,pass4.query7,False,0.0,row_count_mismatch,0.0,False,11,6,6,11
phi4-mini-128:latest,pass4.query8,False,0.0,row_count_mismatch,0.08333333333333333,False,2,4,4,2
qwen3-coder-30b-256:latest,pass4.query1,False,0.0,same_count_wrong_values,0.8125,True,8,8,3,3
qwen3-coder-30b-256:latest,pass4.query2,False,0.0,row_count_mismatch,0.16666666666666666,False,5,3,3,5
qwen3-coder-30b-256:latest,pass4.query3,False,0.0,row_count_mismatch,0.13333333333333333,False,5,2,2,5
qwen3-coder-30b-256:latest,pass4.query4,False,0.0,row_count_mismatch,0.25,False,3,1,1,3
qwen3-coder-30b-256:latest,pass4.query5,False,0.0,same_count_wrong_values,0.3,True,5,5,4,4
qwen3-coder-30b-256:latest,pass4.query6,False,0.0,same_count_wrong_values,0.55,True,5,5,5,5
qwen3-coder-30b-256:latest,pass4.query7,False,0.0,same_count_wrong_values,0.1111111111111111,True,6,6,6,6
qwen3-coder-30b-256:latest,pass4.query8,False,0.0,row_count_mismatch,0.06666666666666667,False,6,4,4,6
qwen3-coder-30b-64:latest,pass4.query1,False,0.0,same_count_wrong_values,0.8125,True,8,8,3,3
qwen3-coder-30b-64:latest,pass4.query2,False,0.0,row_count_mismatch,0.16666666666666666,False,5,3,3,5
qwen3-coder-30b-64:latest,pass4.query3,False,0.0,row_count_mismatch,0.13333333333333333,False,5,2,2,5
qwen3-coder-30b-64:latest,pass4.query4,False,0.0,row_count_mismatch,0.25,False,3,1,1,3
qwen3-coder-30b-64:latest,pass4.query5,False,0.0,row_count_mismatch,0.26666666666666666,False,3,5,5,3
qwen3-coder-30b-64:latest,pass4.query6,False,0.0,same_count_wrong_values,0.55,True,5,5,5,5
qwen3-coder-30b-64:latest,pass4.query7,False,0.0,row_count_mismatch,0.09523809523809523,False,7,6,6,7
qwen3-coder-30b-64:latest,pass4.query8,False,0.0,row_count_mismatch,0.06666666666666667,False,6,4,4,6
qwen36-256:latest,pass4.query1,False,0.0,same_count_wrong_values,0.875,True,8,8,2,2
qwen36-256:latest,pass4.query2,False,0.0,row_count_mismatch,0.16666666666666666,False,5,3,3,5
qwen36-256:latest,pass4.query3,False,0.0,row_count_mismatch,0.25,False,4,2,2,4
qwen36-256:latest,pass4.query4,False,0.0,row_count_mismatch,0.25,False,2,1,1,2
qwen36-256:latest,pass4.query5,False,0.0,row_count_mismatch,0.3333333333333333,False,4,5,3,2
qwen36-256:latest,pass4.query6,False,0.0,same_count_wrong_values,0.7,True,5,5,5,5
qwen36-256:latest,pass4.query7,False,0.0,row_count_mismatch,0.3888888888888889,False,5,6,6,5
qwen36-256:latest,pass4.query8,False,0.0,row_count_mismatch,0.24761904761904763,False,7,4,4,7
qwen36-64:latest,pass4.query1,False,0.0,same_count_wrong_values,0.75,True,8,8,4,4
qwen36-64:latest,pass4.query2,False,0.0,row_count_mismatch,0.2,False,5,3,3,5
qwen36-64:latest,pass4.query3,False,0.0,row_count_mismatch,0.25,False,4,2,1,3
qwen36-64:latest,pass4.query4,False,0.0,row_count_mismatch,0.16666666666666666,False,3,1,1,3
qwen36-64:latest,pass4.query5,False,0.0,same_count_wrong_values,0.3333333333333333,True,5,5,3,3
qwen36-64:latest,pass4.query6,False,0.0,same_count_wrong_values,0.7,True,5,5,5,5
qwen36-64:latest,pass4.query7,False,0.0,row_count_mismatch,0.3888888888888889,False,5,6,6,5
qwen36-64:latest,pass4.query8,False,0.0,row_count_mismatch,0.17142857142857143,False,7,4,4,7
