case_id,query,pass,query_no,difficulty,language,primary_failure_family,attempts,exact_attempts,exact_attempt_rate,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,mean_sort_correctness,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact,order_only,type_only,column_error
pass2.query9,P2 Q9,2,9,medium,sql,decision_support,39,0,0,0.37483007733007734,0.29520146520146523,0.477991452991453,0.30484330484330485,0.2219067969067969,row_count_mismatch,36,3,0,0,0,0
pass2.query10,P2 Q10,2,10,medium,sql,decision_support,39,3,0.07692307692307693,0.8220512820512821,0.7188034188034188,0.917948717948718,0.5982905982905983,0.917948717948718,same_count_wrong_values,16,20,3,0,0,0
pass3.query1,P3 Q1,3,1,hard,sql,join_key_integrity,39,10,0.2564102564102564,1.0,0.9237891737891738,1.0,1.0,1.0,same_count_wrong_values,0,29,10,0,0,0
pass3.query2,P3 Q2,3,2,hard,sql,aggregation_numeric,39,0,0,0.47569139194139193,0.4103174603174603,0.6018315018315018,0.29967948717948717,0.42435897435897435,row_count_mismatch,27,12,0,0,0,0
pass3.query3,P3 Q3,3,3,hard,sql,orphan_key_audit,39,0,0,0.7486324786324786,0.5769230769230769,0.917094017094017,0.48205128205128206,0.7273504273504273,same_count_wrong_values,12,27,0,0,0,0
pass3.query4,P3 Q4,3,4,hard,sql,aggregation_numeric,39,0,0,0.4487179487179487,0.2158119658119658,0.6282051282051282,0.20085470085470086,0.3717948717948718,row_count_mismatch,30,6,0,0,0,3
pass3.query5,P3 Q5,3,5,hard,sql,outer_join_coverage,39,3,0.07692307692307693,0.8744444444444445,0.7738705738705739,0.9275946275946276,0.7504273504273504,0.9275946275946276,same_count_wrong_values,10,26,3,0,0,0
pass3.query6,P3 Q6,3,6,hard,sql,ranking_and_priority,39,0,0,0.52379355687048,0.43034188034188037,0.6245562130177514,0.37393162393162394,0.49667981591058513,row_count_mismatch,24,15,0,0,0,0
pass3.query7,P3 Q7,3,7,hard,sql,orphan_key_audit,39,3,0.07692307692307693,0.07692307692307693,0.3367521367521368,0.07692307692307693,1.0,0.07692307692307693,same_count_wrong_values,13,23,3,0,0,0
pass3.query8,P3 Q8,3,8,hard,sql,decision_support,39,0,0,0.308040293040293,0.28685388685388685,0.376984126984127,0.29914529914529914,0.14902319902319902,row_count_mismatch,38,1,0,0,0,0
pass3.query9,P3 Q9,3,9,hard,sql,failure_family_audit,39,0,0,0.7921016483516483,0.5291208791208791,0.989010989010989,0.6073717948717948,0.5769230769230769,same_count_wrong_values,1,38,0,0,0,0
pass3.query10,P3 Q10,3,10,hard,sql,decision_support,39,0,0,0.6703846153846154,0.3577777777777778,0.8837606837606837,0.33974358974358976,0.6329059829059829,same_count_wrong_values,14,25,0,0,0,0
pass4.query1,P4 Q1,4,1,extra_hard,python,audit_reconciliation,39,0,0,0.8490384615384615,0.7483974358974359,1.0,0.4967948717948718,1.0,same_count_wrong_values,0,39,0,0,0,0
pass4.query2,P4 Q2,4,2,extra_hard,python,aggregation_numeric,39,0,0,0.40023504273504273,0.21876780626780626,0.5348290598290598,0.2585470085470085,0.2762820512820513,row_count_mismatch,30,9,0,0,0,0
pass4.query3,P4 Q3,4,3,extra_hard,python,decision_support,39,0,0,0.3078418803418803,0.2263024013024013,0.38663003663003664,0.22115384615384615,0.2409035409035409,row_count_mismatch,34,5,0,0,0,0
pass4.query4,P4 Q4,4,4,extra_hard,python,decision_support,39,0,0,0.38623931623931623,0.23846153846153845,0.3905982905982906,0.40170940170940167,0.3521367521367521,row_count_mismatch,39,0,0,0,0,0
pass4.query5,P4 Q5,4,5,extra_hard,python,expression_mapping,39,0,0,0.6411794871794873,0.33931623931623933,0.8179487179487179,0.48,0.44102564102564107,row_count_mismatch,24,15,0,0,0,0
pass4.query6,P4 Q6,4,6,extra_hard,python,decision_support,39,0,0,0.6487179487179487,0.4846153846153846,0.882051282051282,0.2,0.7384615384615385,same_count_wrong_values,13,26,0,0,0,0
pass4.query7,P4 Q7,4,7,extra_hard,python,orphan_key_audit,39,0,0,0.0,0.1482905982905983,0.0,1.0,0.0,row_count_mismatch,23,16,0,0,0,0
pass4.query8,P4 Q8,4,8,extra_hard,python,presentation_table,39,0,0,0.471007326007326,0.13681318681318683,0.5454212454212454,0.6089743589743589,0.07802197802197802,row_count_mismatch,37,2,0,0,0,0
pass4.query9,P4 Q9,4,9,extra_hard,python,decision_support,39,0,0,0.47147435897435896,0.03076923076923077,0.7692307692307693,0.2467948717948718,0.0641025641025641,row_count_mismatch,20,19,0,0,0,0
pass4.query10,P4 Q10,4,10,extra_hard,python,repairability_review,39,3,0.07692307692307693,0.9886039886039886,0.8393162393162393,0.9886039886039886,0.9886039886039886,0.9886039886039886,same_count_wrong_values,2,34,3,0,0,0
pass5.query1,P5 Q1,5,1,extreme_hard,python,expression_transform,39,0,0,0.6766666666666666,0.335042735042735,0.9435897435897436,0.05384615384615384,0.9435897435897436,same_count_wrong_values,11,28,0,0,0,0
pass5.query2,P5 Q2,5,2,extreme_hard,python,expression_transform,39,0,0,0.5401862809555117,0.26698900577105705,0.6114069690992767,0.4829059829059829,0.4480550076703923,row_count_mismatch,39,0,0,0,0,0
pass5.query3,P5 Q3,5,3,extreme_hard,python,statistical_summary,39,0,0,0.40783119658119654,0.33513770180436847,0.49394586894586895,0.34455128205128205,0.28746438746438746,row_count_mismatch,28,11,0,0,0,0
pass5.query4,P5 Q4,5,4,extreme_hard,python,statistical_summary,39,0,0,0.6955128205128205,0.2483974358974359,0.9935897435897436,0.0,0.9935897435897436,same_count_wrong_values,1,38,0,0,0,0
pass5.query5,P5 Q5,5,5,extreme_hard,python,decision_support,39,0,0,0.3753418803418803,0.23041310541310542,0.5226495726495727,0.16666666666666666,0.32008547008547006,row_count_mismatch,34,5,0,0,0,0
pass5.query6,P5 Q6,5,6,extreme_hard,python,statistical_summary,39,0,0,0.5676923076923077,0.13094017094017094,0.8735042735042735,0.0,0.6547008547008547,row_count_mismatch,22,17,0,0,0,0
pass5.query7,P5 Q7,5,7,extreme_hard,python,repeatability_probe,39,0,0,0.7108974358974359,0.37393162393162394,0.9102564102564102,0.24572649572649571,0.9102564102564102,same_count_wrong_values,9,30,0,0,0,0
pass5.query8,P5 Q8,5,8,extreme_hard,python,decision_support,39,0,0,0.7260512820512821,0.43272283272283274,0.9452991452991453,0.39794871794871794,0.67008547008547,same_count_wrong_values,7,32,0,0,0,0
pass5.query9,P5 Q9,5,9,extreme_hard,python,ranking_and_priority,39,0,0,0.28780830280830283,0.17916157916157915,0.3973137973137973,0.202991452991453,0.14126984126984127,row_count_mismatch,34,5,0,0,0,0
pass5.query10,P5 Q10,5,10,extreme_hard,python,statistical_summary,39,0,0,0.49141025641025643,0.1076923076923077,0.8769230769230769,0.019230769230769232,0.23589743589743592,row_count_mismatch,22,17,0,0,0,0
