model,display_model,pass,exact_attempts,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact
dbrx-sqlbench:latest,DBRX,5,0,0.49412222222222224,0.19201058201058202,0.7163888888888889,0.16716666666666666,row_count_mismatch,22,8,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,1,0,0.44991666666666663,0.5869444444444445,0.5416666666666666,0.3219444444444444,row_count_mismatch,12,12,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,2,0,0.5981111111111111,0.524,0.7066666666666667,0.5411111111111111,row_count_mismatch,18,12,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,3,0,0.6562222222222223,0.5244444444444445,0.7622222222222222,0.6333333333333333,same_count_wrong_values,14,16,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,4,0,0.5478777777777778,0.3225198412698413,0.6436507936507937,0.577952380952381,row_count_mismatch,18,12,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,5,0,0.6214694444444444,0.27964550264550264,0.8516666666666667,0.24508333333333332,same_count_wrong_values,12,18,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,1,0,0.6756296296296297,0.49398148148148147,0.8050925925925926,0.5186111111111111,row_count_mismatch,14,13,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,2,0,0.5066349206349207,0.35819047619047617,0.6336507936507937,0.39296296296296296,row_count_mismatch,25,5,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,3,0,0.4324543650793651,0.3386349206349206,0.5584920634920635,0.34847222222222224,same_count_wrong_values,14,16,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,4,0,0.5017857142857143,0.3790277777777778,0.6394444444444445,0.3987301587301587,row_count_mismatch,16,14,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,5,0,0.52085,0.20387962962962963,0.7394444444444445,0.16616666666666666,row_count_mismatch,21,9,0
phi4-mini-sqlbench:latest,Phi-4 Mini,1,0,0.6941911375661376,0.4180489417989418,0.8341269841269842,0.5465542328042328,row_count_mismatch,19,11,0
phi4-mini-sqlbench:latest,Phi-4 Mini,2,0,0.529386585149743,0.34013930870948417,0.6630006835269993,0.3735185185185185,row_count_mismatch,23,7,0
phi4-mini-sqlbench:latest,Phi-4 Mini,3,0,0.41735714285714287,0.2952962962962963,0.5521428571428572,0.39222222222222225,row_count_mismatch,17,13,0
phi4-mini-sqlbench:latest,Phi-4 Mini,4,0,0.39754232804232803,0.2848478835978836,0.5092328042328043,0.3085185185185185,same_count_wrong_values,14,16,0
phi4-mini-sqlbench:latest,Phi-4 Mini,5,0,0.4643231481481481,0.19791358024691358,0.6955555555555556,0.08502777777777779,row_count_mismatch,19,11,0
