case_id,query,short_name,issue_code,issue_label,attempts_with_issue,attempt_pct,example_models
pass3.query5,Q5,Sample genotype classes,q5_s2_nonref_wrong,Miscomputed S2 heterozygous calls or non-reference mean quality.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query5,Q5,Sample genotype classes,q5_counted_reference_or_wrong_class,Counted reference calls or put genotypes into the wrong class.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query5,Q5,Sample genotype classes,q5_included_s999,Included S999 even though sample_dim is the preserving table.,14,0.358974358974359,"DBRX, DeepSeek Coder 33B, Llama 3 70B, Mixtral 8x22B"
pass3.query6,Q6,Tissue-gene dense ranking,q6_wrong_group_set,Returned the wrong tissue-gene group set before ranking.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query6,Q6,Tissue-gene dense ranking,q6_leaked_root_or_incomplete,"Leaked root, incomplete-chain, or non-gold genes into the ranking.",32,0.8205128205128205,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass3.query6,Q6,Tissue-gene dense ranking,q6_wrong_totals_or_vaf,Miscomputed total_alt_reads or avg_vaf.,31,0.7948717948717948,"CodeLlama 70B, Command R+, DBRX, Gemma 4 31B"
pass3.query7,Q7,Unused dimension anti-join,q7_object_type_labels_wrong,Used dimension-table labels such as gene_dim/sample_dim instead of gene/sample/variant.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query7,Q7,Unused dimension anti-join,q7_missing_expected_object,"Dropped or mislabeled one of G4, G5, S5, or V6 in the anti-join audit.",36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query7,Q7,Unused dimension anti-join,q7_g4_reason_wrong,Assigned the wrong reason to G4; it should be no_fact_calls_through_variants.,31,0.7948717948717948,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query8,Q8,Gene-role decision summary,q8_wrong_group_set,Returned the wrong condition-gene_role groups.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query8,Q8,Gene-role decision summary,q8_leaked_reference_or_incomplete,"Leaked reference calls, incomplete chains, or non-gold roles into the non-reference summary.",39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query8,Q8,Gene-role decision summary,q8_wrong_vaf,Computed mean_vaf from the wrong row set.,28,0.717948717948718,"CodeLlama 70B, Command R+, Gemma 4 26B, Gemma 4 31B"
pass3.query9,Q9,Failure-family audit,q9_wrong_complete_counts,Miscomputed complete_chain_calls by condition group.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query9,Q9,Failure-family audit,q9_wrong_missing_status_counts,"Miscomputed missing_sample, missing_variant, or missing_gene counts.",36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query10,Q10,Decision-priority candidate table,q10_wrong_vaf,Computed avg_vaf from the wrong non-reference row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query10,Q10,Decision-priority candidate table,q10_wrong_expression,Mapped matched expression counts incorrectly.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query10,Q10,Decision-priority candidate table,q10_wrong_decision_score,Computed decision_score incorrectly from avg_vaf and matched expression.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
