model,case_id,exact_match,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-31b-64:latest,pass1.query3,True,exact,1.0,True,9,9,0,0
gemma4-31b-64:latest,pass1.query4,True,exact,1.0,True,5,5,0,0
gemma4-31b-64:latest,pass1.query5,False,row_count_mismatch,0.65625,False,8,7,0,1
gemma4-31b-64:latest,pass1.query6,False,same_count_wrong_values,0.8333333333333334,True,4,4,1,1
gemma4-31b-64:latest,pass1.query7,False,same_count_wrong_values,0.0,True,2,2,2,2
gemma4-31b-64:latest,pass1.query8,False,same_count_wrong_values,0.5555555555555556,True,3,3,2,2
phi4-mini-128:latest,pass1.query1,False,row_count_mismatch,0.6888888888888889,False,9,8,4,5
phi4-mini-128:latest,pass1.query2,False,row_count_mismatch,0.075,False,3,8,7,2
phi4-mini-128:latest,pass1.query3,False,row_count_mismatch,0.6666666666666666,False,8,9,6,5
phi4-mini-128:latest,pass1.query4,False,row_count_mismatch,0.4166666666666667,False,6,5,5,6
phi4-mini-128:latest,pass1.query5,False,row_count_mismatch,0.42857142857142855,False,6,7,5,4
phi4-mini-128:latest,pass1.query6,False,row_count_mismatch,0.13333333333333333,False,5,4,4,5
phi4-mini-128:latest,pass1.query7,False,same_count_wrong_values,0.25,True,2,2,2,2
phi4-mini-128:latest,pass1.query8,False,same_count_wrong_values,0.0,True,3,3,3,3
qwen3-coder-30b-256:latest,pass1.query1,False,row_count_mismatch,0.6444444444444445,False,9,8,8,9
qwen3-coder-30b-256:latest,pass1.query2,False,same_count_wrong_values,0.25,True,8,8,1,1
qwen3-coder-30b-256:latest,pass1.query3,False,type_only,0.8,True,9,9,9,9
qwen3-coder-30b-256:latest,pass1.query4,False,same_count_wrong_values,0.95,True,5,5,1,1
qwen3-coder-30b-256:latest,pass1.query5,False,row_count_mismatch,0.4444444444444444,False,9,7,7,9
qwen3-coder-30b-256:latest,pass1.query6,False,same_count_wrong_values,0.75,True,4,4,2,2
qwen3-coder-30b-256:latest,pass1.query7,False,row_count_mismatch,0.16666666666666666,False,3,2,2,3
qwen3-coder-30b-256:latest,pass1.query8,False,same_count_wrong_values,0.5555555555555556,True,3,3,3,3
qwen3-coder-30b-64:latest,pass1.query1,False,row_count_mismatch,0.8,False,9,8,0,1
qwen3-coder-30b-64:latest,pass1.query2,False,row_count_mismatch,0.225,False,7,8,2,1
qwen3-coder-30b-64:latest,pass1.query3,True,exact,1.0,True,9,9,0,0
qwen3-coder-30b-64:latest,pass1.query4,False,same_count_wrong_values,0.95,True,5,5,1,1
qwen3-coder-30b-64:latest,pass1.query5,False,row_count_mismatch,0.4444444444444444,False,9,7,7,9
qwen3-coder-30b-64:latest,pass1.query6,False,same_count_wrong_values,0.75,True,4,4,2,2
qwen3-coder-30b-64:latest,pass1.query7,False,row_count_mismatch,0.16666666666666666,False,3,2,2,3
qwen3-coder-30b-64:latest,pass1.query8,False,same_count_wrong_values,0.5555555555555556,True,3,3,3,3
qwen36-256:latest,pass1.query1,False,row_count_mismatch,0.8,False,9,8,0,1
qwen36-256:latest,pass1.query2,False,row_count_mismatch,0.26666666666666666,False,9,8,0,1
qwen36-256:latest,pass1.query3,True,exact,1.0,True,9,9,0,0
qwen36-256:latest,pass1.query4,False,same_count_wrong_values,0.9,True,5,5,1,1
qwen36-256:latest,pass1.query5,False,row_count_mismatch,0.5833333333333334,False,9,7,0,2
qwen36-256:latest,pass1.query6,False,same_count_wrong_values,0.4166666666666667,True,4,4,2,2
qwen36-256:latest,pass1.query7,False,same_count_wrong_values,0.0,True,2,2,2,2
qwen36-256:latest,pass1.query8,False,same_count_wrong_values,0.5555555555555556,True,3,3,3,3
qwen36-64:latest,pass1.query1,False,row_count_mismatch,0.8,False,9,8,0,1
qwen36-64:latest,pass1.query2,False,row_count_mismatch,0.275,False,7,8,3,2
qwen36-64:latest,pass1.query3,True,exact,1.0,True,9,9,0,0
qwen36-64:latest,pass1.query4,False,same_count_wrong_values,0.9,True,5,5,1,1
qwen36-64:latest,pass1.query5,False,row_count_mismatch,0.5833333333333334,False,9,7,0,2
qwen36-64:latest,pass1.query6,False,same_count_wrong_values,0.75,True,4,4,2,2
qwen36-64:latest,pass1.query7,False,same_count_wrong_values,0.0,True,2,2,2,2
qwen36-64:latest,pass1.query8,False,same_count_wrong_values,0.5555555555555556,True,3,3,3,3
