pass,case_id,query,short_name,issue_code,issue_label,attempts_with_issue,attempt_pct,example_models
4,pass4.query6,Q6,Sample burden table,q6_missing_sample,"Dropped one or more sample_dim rows, usually S5.",21,0.5384615384615384,"CodeLlama 70B, Command R+, DBRX, Llama 3 70B"
4,pass4.query7,Q7,Orphan-key report,q7_wrong_orphan_row_set,Returned the wrong orphan-key row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query7,Q7,Orphan-key report,q7_wrong_source_table,Used imprecise source_table labels such as fact_calls instead of fact_calls.sample_id or fact_calls.variant_id.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query7,Q7,Orphan-key report,q7_wrong_orphan_type,Returned incorrect orphan_type labels.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query8,Q8,Final presentation table,q8_wrong_row_set,Returned the wrong non-reference complete-chain call set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query8,Q8,Final presentation table,q8_leaked_reference_or_incomplete,"Leaked reference, incomplete-chain, or orphan fact rows.",39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query8,Q8,Final presentation table,q8_wrong_expression_or_log,Mapped matched_expr_count or log2_matched_expr incorrectly.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query9,Q9,Pathway reliability summary,q9_wrong_vaf,Miscomputed mean_vaf.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query9,Q9,Pathway reliability summary,q9_wrong_expression,Miscomputed mean_matched_expr.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query9,Q9,Pathway reliability summary,q9_wrong_counts_or_rate,Miscomputed call_count or non_reference_rate.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query10,Q10,Repairability audit,q10_call6_status_wrong,Misclassified call_id 6 / V5; it should be MISSING_GENE and repairable.,31,0.7948717948717948,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
4,pass4.query10,Q10,Repairability audit,q10_repairable_flags_wrong,Set repairable_by_human incorrectly for complete-chain or missing rows.,19,0.48717948717948717,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query10,Q10,Repairability audit,q10_call8_status_wrong,Misclassified call_id 8 / S999; it should be MISSING_SAMPLE and repairable.,5,0.1282051282051282,"DBRX, Gemma 4 26B, Phi-4 Mini"
5,pass5.query1,Q1,Sample expression features,q1_wrong_log2_transform,Miscomputed one or more log2(expr + 1) marker features.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query1,Q1,Sample expression features,q1_wrong_ratio,Miscomputed ndh_module_ratio.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query1,Q1,Sample expression features,q1_wrong_sample_set,Returned the wrong sample set for sample_dim-only feature engineering.,11,0.28205128205128205,"CodeLlama 70B, DeepSeek Coder 33B, Mixtral 8x22B, Qwen 2.5 Coder 32B"
5,pass5.query1,Q1,Sample expression features,q1_wrong_tissue,Mismapped sample tissue labels.,1,0.02564102564102564,DBRX
5,pass5.query2,Q2,Expression-weighted VAF,q2_wrong_call_set,Returned the wrong complete-chain matched call set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query2,Q2,Expression-weighted VAF,q2_wrong_expr_mapping,Mapped matched_expr_count or log2_matched_expr incorrectly.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query2,Q2,Expression-weighted VAF,q2_wrong_weighted_vaf,Miscomputed expr_weighted_vaf.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query2,Q2,Expression-weighted VAF,q2_leaked_incomplete_or_orphan,"Leaked incomplete-chain, orphan, or non-gold calls into the weighted VAF table.",37,0.9487179487179487,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query2,Q2,Expression-weighted VAF,q2_wrong_vaf,Miscomputed VAF.,8,0.20512820512820512,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Phi-4 Mini"
5,pass5.query3,Q3,Condition-gene statistics,q3_wrong_group_set,Returned the wrong condition-gene group set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query3,Q3,Condition-gene statistics,q3_leaked_incomplete_or_orphan,"Leaked incomplete-chain, orphan, or non-gold groups into condition-gene statistics.",39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query3,Q3,Condition-gene statistics,q3_wrong_mean_or_median,Miscomputed mean or median matched expression.,37,0.9487179487179487,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query3,Q3,Condition-gene statistics,q3_wrong_pop_std,Miscomputed population standard deviation.,35,0.8974358974358975,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query3,Q3,Condition-gene statistics,q3_wrong_count,Miscomputed n_calls.,34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query4,Q4,Stress-control log2 delta,q4_wrong_stress_or_control_mean,Miscomputed stress/control mean log2 expression.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query4,Q4,Stress-control log2 delta,q4_wrong_delta,Miscomputed stress-minus-control delta.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query4,Q4,Stress-control log2 delta,q4_wrong_gene_set,Returned the wrong marker-gene set.,1,0.02564102564102564,Llama 3 70B
5,pass5.query5,Q5,Pathway-tissue burden,q5_wrong_vaf,Miscomputed mean_vaf.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query5,Q5,Pathway-tissue burden,q5_wrong_log2_expr,Miscomputed mean_log2_matched_expr.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query5,Q5,Pathway-tissue burden,q5_wrong_burden,Miscomputed burden_score.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query5,Q5,Pathway-tissue burden,q5_wrong_group_set,Returned the wrong pathway-tissue group set.,34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query5,Q5,Pathway-tissue burden,q5_leaked_ref_or_incomplete,"Leaked reference, incomplete-chain, or orphan rows into pathway burden.",34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query5,Q5,Pathway-tissue burden,q5_wrong_count,Miscomputed non_reference_calls.,23,0.5897435897435898,"Command R+, DBRX, Llama 3 70B, Mixtral 8x22B"
5,pass5.query6,Q6,Sample expression z-scores,q6_wrong_zscore,"Miscomputed marker z-scores, usually from ddof or denominator errors.",39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query6,Q6,Sample expression z-scores,q6_wrong_z_mean,Miscomputed photosynthesis_expr_z_mean.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query6,Q6,Sample expression z-scores,q6_wrong_sample_set,Returned the wrong sample set for z-score ranking.,25,0.6410256410256411,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
5,pass5.query6,Q6,Sample expression z-scores,q6_wrong_sort,Returned z-score rows in the wrong order.,7,0.1794871794871795,"Command R+, Phi-4 Mini, Qwen3 Coder 30B"
5,pass5.query7,Q7,Condition CV summary,q7_wrong_mean_expr,Miscomputed mean_matched_expr.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query7,Q7,Condition CV summary,q7_wrong_cv,Miscomputed cv_matched_expr.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query7,Q7,Condition CV summary,q7_wrong_vaf,Miscomputed mean_vaf.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query7,Q7,Condition CV summary,q7_wrong_gene_count,Miscomputed distinct_genes_observed.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query7,Q7,Condition CV summary,q7_wrong_condition_set,Returned the wrong condition set.,9,0.23076923076923078,"DBRX, Phi-4 Mini, Qwen 2.5 Coder 32B"
5,pass5.query8,Q8,Sample variant pressure,q8_wrong_counts,Miscomputed non-reference or high/moderate call counts.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query8,Q8,Sample variant pressure,q8_wrong_marker_expr,Miscomputed total_marker_expr or log2_total_marker_expr.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query8,Q8,Sample variant pressure,q8_wrong_pressure,Miscomputed photosynthesis_variant_pressure.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query8,Q8,Sample variant pressure,q8_wrong_sort,Returned sample pressure rows in the wrong order.,16,0.41025641025641024,"Gemma 4 26B, Gemma 4 31B, Llama 3 70B, Mixtral 8x22B"
5,pass5.query8,Q8,Sample variant pressure,q8_wrong_sample_set,Returned the wrong sample set for the preserving sample-level burden table.,12,0.3076923076923077,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Llama 3 70B"
5,pass5.query8,Q8,Sample variant pressure,q8_missing_zero_call_sample,Dropped one or more zero-call sample_dim rows.,9,0.23076923076923078,"DBRX, DeepSeek Coder 33B, Llama 3 70B, Mixtral 8x22B"
5,pass5.query8,Q8,Sample variant pressure,q8_included_orphan_sample,Included orphan sample rows such as S999.,6,0.15384615384615385,"DBRX, Qwen 2.5 Coder 32B"
5,pass5.query9,Q9,Condition-gene signal ranking,q9_wrong_group_set,Returned the wrong condition-gene signal group set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query9,Q9,Condition-gene signal ranking,q9_leaked_ref_or_incomplete,"Leaked reference, incomplete-chain, or orphan groups into signal ranking.",39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query9,Q9,Condition-gene signal ranking,q9_wrong_log2_expr,Miscomputed mean_log2_matched_expr.,33,0.8461538461538461,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query9,Q9,Condition-gene signal ranking,q9_wrong_signal,Miscomputed expression_weighted_signal.,33,0.8461538461538461,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query9,Q9,Condition-gene signal ranking,q9_wrong_vaf,Miscomputed mean_vaf.,25,0.6410256410256411,"DBRX, DeepSeek Coder 33B, Gemma 4 26B, Llama 3 70B"
5,pass5.query9,Q9,Condition-gene signal ranking,q9_wrong_count,Miscomputed non_reference_calls.,20,0.5128205128205128,"DBRX, DeepSeek Coder 33B, Gemma 4 26B, Llama 3 70B"
5,pass5.query10,Q10,Marker composition shares,q10_wrong_shares,Miscomputed one or more marker composition shares.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query10,Q10,Marker composition shares,q10_wrong_imbalance,Miscomputed marker_imbalance.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query10,Q10,Marker composition shares,q10_wrong_sample_set,Returned the wrong sample set for marker composition shares.,22,0.5641025641025641,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
5,pass5.query10,Q10,Marker composition shares,q10_wrong_sort,Returned marker-share rows in the wrong order.,17,0.4358974358974359,"CodeLlama 70B, Command R+, Gemma 4 26B, Gemma 4 31B"
5,pass5.query10,Q10,Marker composition shares,q10_wrong_condition,Mismapped sample condition labels.,1,0.02564102564102564,CodeLlama 70B
