model,display_model,pass,exact_attempts,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,dominant_failure_mode,row_count_mismatch,same_count_wrong_values,exact
codellama-70b-sqlbench:latest,CodeLlama 70B,1,3,0.6266706349206349,0.5598941798941799,0.7446428571428572,same_count_wrong_values,12,15,3
codellama-70b-sqlbench:latest,CodeLlama 70B,2,0,0.41505555555555557,0.3713853615520282,0.5605555555555556,row_count_mismatch,22,8,0
codellama-70b-sqlbench:latest,CodeLlama 70B,3,0,0.5063194444444444,0.33305555555555555,0.6388888888888888,row_count_mismatch,19,11,0
command-r-plus-sqlbench:latest,Command R+,1,1,0.8303531746031746,0.6392328042328043,0.9301587301587302,same_count_wrong_values,9,20,1
command-r-plus-sqlbench:latest,Command R+,2,0,0.5923888888888889,0.5491728395061729,0.6777777777777778,row_count_mismatch,17,13,0
command-r-plus-sqlbench:latest,Command R+,3,0,0.5138205128205128,0.3930740740740741,0.6402564102564102,row_count_mismatch,18,12,0
dbrx-sqlbench:latest,DBRX,1,1,0.7350515873015873,0.48955687830687833,0.866984126984127,row_count_mismatch,15,14,1
dbrx-sqlbench:latest,DBRX,2,0,0.4407042448292448,0.3388102541521659,0.5739339826839827,row_count_mismatch,20,8,0
dbrx-sqlbench:latest,DBRX,3,0,0.5447638888888889,0.4123148148148148,0.7172222222222222,same_count_wrong_values,4,23,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,1,0,0.44991666666666663,0.5869444444444445,0.5416666666666666,row_count_mismatch,12,12,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,2,0,0.5981111111111111,0.524,0.7066666666666667,row_count_mismatch,18,12,0
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,3,0,0.6562222222222223,0.5244444444444445,0.7622222222222222,same_count_wrong_values,14,16,0
phi4-mini-sqlbench:latest,Phi-4 Mini,1,0,0.6941911375661376,0.4180489417989418,0.8341269841269842,row_count_mismatch,19,11,0
phi4-mini-sqlbench:latest,Phi-4 Mini,2,0,0.529386585149743,0.34013930870948417,0.6630006835269993,row_count_mismatch,23,7,0
phi4-mini-sqlbench:latest,Phi-4 Mini,3,0,0.41735714285714287,0.2952962962962963,0.5521428571428572,row_count_mismatch,17,13,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,1,0,0.6756296296296297,0.49398148148148147,0.8050925925925926,row_count_mismatch,14,13,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,2,0,0.5066349206349207,0.35819047619047617,0.6336507936507937,row_count_mismatch,25,5,0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,3,0,0.4324543650793651,0.3386349206349206,0.5584920634920635,same_count_wrong_values,14,16,0
