model,case_id,exact_match,score,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-31b-256:latest,pass3.query6,False,0.0,same_count_wrong_values,0.9,True,4,4,2,2
gemma4-31b-256:latest,pass3.query7,True,1.0,exact,1.0,True,4,4,0,0
gemma4-31b-256:latest,pass3.query8,False,0.0,row_count_mismatch,0.3125,False,4,3,1,2
gemma4-31b-64:latest,pass3.query1,False,0.0,same_count_wrong_values,0.9722222222222222,True,9,9,1,1
gemma4-31b-64:latest,pass3.query2,False,0.0,same_count_wrong_values,0.9583333333333334,True,4,4,1,1
gemma4-31b-64:latest,pass3.query3,False,0.0,same_count_wrong_values,0.85,True,5,5,3,3
gemma4-31b-64:latest,pass3.query4,False,0.0,same_count_wrong_values,0.875,True,2,2,1,1
gemma4-31b-64:latest,pass3.query5,True,1.0,exact,1.0,True,5,5,0,0
gemma4-31b-64:latest,pass3.query6,False,0.0,same_count_wrong_values,0.9,True,4,4,2,2
gemma4-31b-64:latest,pass3.query7,True,1.0,exact,1.0,True,4,4,0,0
gemma4-31b-64:latest,pass3.query8,False,0.0,row_count_mismatch,0.3125,False,4,3,1,2
phi4-mini-128:latest,pass3.query1,False,0.0,row_count_mismatch,0.6111111111111112,False,8,9,7,6
phi4-mini-128:latest,pass3.query2,False,0.0,row_count_mismatch,0.125,False,2,4,4,2
phi4-mini-128:latest,pass3.query3,False,0.0,same_count_wrong_values,0.15,True,5,5,5,5
phi4-mini-128:latest,pass3.query4,False,0.0,same_count_wrong_values,0.25,True,2,2,2,2
phi4-mini-128:latest,pass3.query5,False,0.0,row_count_mismatch,0.35714285714285715,False,7,5,4,6
phi4-mini-128:latest,pass3.query6,False,0.0,row_count_mismatch,0.1,False,3,4,4,3
phi4-mini-128:latest,pass3.query7,False,0.0,row_count_mismatch,0.0,False,3,4,4,3
phi4-mini-128:latest,pass3.query8,False,0.0,row_count_mismatch,0.4166666666666667,False,2,3,3,2
qwen3-coder-30b-256:latest,pass3.query1,False,0.0,same_count_wrong_values,0.9444444444444444,True,9,9,2,2
qwen3-coder-30b-256:latest,pass3.query2,False,0.0,row_count_mismatch,0.3333333333333333,False,5,4,4,5
qwen3-coder-30b-256:latest,pass3.query3,False,0.0,row_count_mismatch,0.5,False,6,5,5,6
qwen3-coder-30b-256:latest,pass3.query4,False,0.0,row_count_mismatch,0.4166666666666667,False,3,2,1,2
qwen3-coder-30b-256:latest,pass3.query5,False,0.0,same_count_wrong_values,0.9,True,5,5,1,1
qwen3-coder-30b-256:latest,pass3.query6,False,0.0,row_count_mismatch,0.48,False,5,4,4,5
qwen3-coder-30b-256:latest,pass3.query7,False,0.0,same_count_wrong_values,0.3333333333333333,True,4,4,4,4
qwen3-coder-30b-256:latest,pass3.query8,False,0.0,row_count_mismatch,0.35,False,5,3,2,4
qwen3-coder-30b-64:latest,pass3.query1,False,0.0,same_count_wrong_values,0.7222222222222222,True,9,9,9,9
qwen3-coder-30b-64:latest,pass3.query2,False,0.0,row_count_mismatch,0.3333333333333333,False,5,4,3,4
qwen3-coder-30b-64:latest,pass3.query3,False,0.0,same_count_wrong_values,0.35,True,5,5,4,4
qwen3-coder-30b-64:latest,pass3.query4,False,0.0,row_count_mismatch,0.4166666666666667,False,3,2,1,2
qwen3-coder-30b-64:latest,pass3.query5,False,0.0,same_count_wrong_values,0.9,True,5,5,1,1
qwen3-coder-30b-64:latest,pass3.query6,False,0.0,row_count_mismatch,0.4,False,5,4,4,5
qwen3-coder-30b-64:latest,pass3.query7,False,0.0,row_count_mismatch,0.0,False,2,4,4,2
qwen3-coder-30b-64:latest,pass3.query8,False,0.0,row_count_mismatch,0.25,False,5,3,2,4
qwen36-256:latest,pass3.query1,False,0.0,same_count_wrong_values,0.9722222222222222,True,9,9,1,1
qwen36-256:latest,pass3.query2,False,0.0,row_count_mismatch,0.5,False,3,4,2,1
qwen36-256:latest,pass3.query3,False,0.0,same_count_wrong_values,0.85,True,5,5,3,3
qwen36-256:latest,pass3.query4,False,0.0,row_count_mismatch,0.25,False,3,2,1,2
qwen36-256:latest,pass3.query5,False,0.0,same_count_wrong_values,0.85,True,5,5,2,2
qwen36-256:latest,pass3.query6,False,0.0,row_count_mismatch,0.6,False,3,4,3,2
qwen36-256:latest,pass3.query7,False,0.0,row_count_mismatch,0.26666666666666666,False,5,4,4,5
qwen36-256:latest,pass3.query8,False,0.0,row_count_mismatch,0.3125,False,4,3,3,4
qwen36-64:latest,pass3.query1,False,0.0,same_count_wrong_values,0.9722222222222222,True,9,9,1,1
qwen36-64:latest,pass3.query2,False,0.0,row_count_mismatch,0.4166666666666667,False,6,4,2,4
qwen36-64:latest,pass3.query3,False,0.0,same_count_wrong_values,0.9,True,5,5,2,2
qwen36-64:latest,pass3.query4,False,0.0,row_count_mismatch,0.125,False,1,2,2,1
qwen36-64:latest,pass3.query5,False,0.0,same_count_wrong_values,0.95,True,5,5,1,1
qwen36-64:latest,pass3.query6,False,0.0,same_count_wrong_values,0.85,True,4,4,3,3
qwen36-64:latest,pass3.query7,False,0.0,row_count_mismatch,0.26666666666666666,False,5,4,4,5
qwen36-64:latest,pass3.query8,False,0.0,row_count_mismatch,0.3,False,5,3,3,5
